geneSymbol	HS01	HS02	HS03	HS04	HS05	CL08	CL10	CL11	CL12	CL13
FCGR2C	3.240668764991317	3.727336415900737	3.5458560293669352	2.5246660646908055	4.003918951071507	6.212626703032573	6.4650882625806005	7.466028574424606	7.194341148294588	5.9796736640707495
IFI44L	3.4373328543492887	4.3774362654349055	4.2545347530983	3.233928361040162	4.920243075851151	6.5928612462697105	6.398237267365838	8.403945047716828	7.479709293234142	7.150178799964545
IFI44	2.213864838119264	3.3274088116810945	3.6868477345930835	3.0218467847503296	3.8019161538466006	5.453969160828935	5.458348928108889	6.803185344591764	6.16132683955664	5.795976064983491
RP11-497H16.7	-1.2869832234942398	-0.2258222146728583	0.09146713169005839	-0.20571531793190273	1.7227761870690603	2.934664401113671	2.8178762528703154	3.7093009815031572	3.764382043137528	3.329173516601209
IGLV7-43	-6.473443889334508	-5.165899642457987	-4.200065448058094	-5.180930543871455	-0.05884661838208945	2.9963032382409414	1.6076067171332866	4.77406540435533	3.72937208627219	3.7252460515272117
OAS1	2.6600744863179635	3.546781525841778	3.4480944401032216	3.4775502693687415	4.632471995115147	5.90262248156558	5.853883712763009	6.899353768028978	6.664473566437591	6.5869579321129
IFI6	2.781314537739151	3.7046094665588196	3.361195413440895	3.3866425675768133	5.256906937489771	6.965428919069198	6.727248817313406	8.095510768779512	7.974552398097255	7.522781085652088
IFNG	-6.473443889334508	-2.6410471431186258	-4.200062250987393	-5.180930543871455	-2.222328138948477	3.421273606132879	3.663697855088831	5.129561614807971	5.639272228235796	3.6207256728088004
FCGR1CP	-6.473443889334508	-1.5742902274661623	-3.503696555235978	-5.180930543871455	-2.222328138948477	4.659716955694635	4.4805568001782685	5.77287934886822	5.481803475397468	4.821983485408387
KLHDC7B	-4.739652181797421	-2.0660591011490506	-3.4463456336242877	-4.790359188080027	-2.222328138948477	3.3176591469081234	3.3468733752035273	3.3349773382592964	3.968946044333168	3.178221737991884
C19orf38	-1.7125625838945866	0.09073143413714008	-1.0421868857045624	-1.4064447804545477	0.039405676168691416	3.270118593406802	3.8568053977754837	3.892592299722642	4.10550014057264	3.7352701572932423
UPP1	1.7184778153081213	2.6767032493126393	2.5819239769153683	2.5739865654607925	3.2827005712477058	5.571767722359345	5.541500400657728	5.704217482617094	5.704193591717384	5.616292804841348
CECR1	2.114625152834143	3.429737098261908	3.041491273658573	3.0357016099656478	4.055764729994603	7.277387474958728	6.902447003218346	7.5859688847283975	7.439923752325013	7.570841461682765
IRF8	2.1371895879558602	3.684473099314061	3.199900943924248	2.7843826522905664	4.3948422514704495	7.431904173585805	7.170148627630878	7.30338204008765	7.640004926770355	7.353754370697175
HLA-DMB	3.9011160448990756	5.123015001816875	4.260906744987742	4.6288997473570035	5.570226944537407	8.980082377539045	8.34924026093915	8.645738597652144	9.070994503512159	8.669738203022789
CTSS	4.827599016511461	6.074061317213056	5.327373138408697	5.883929729152736	6.68503791142079	10.762437241063312	10.121983556967098	10.641588137718145	10.793279458990748	10.860764064157149
SIGLEC14	-1.1456799561406499	0.28928385489734953	-0.344022291387162	-0.9647156033089845	1.012060907734133	3.881152696942865	3.2200262950087417	4.798525391333314	3.7955909469324784	4.444705675093246
CLEC6A	-6.473443889334508	-3.2716711064350372	-3.7148361478994456	-5.180930543871455	-2.222328138948477	3.4502536921521494	3.109928594153177	4.365844027983298	3.4535964749187906	4.729486801215329
TRGV3	-3.7884419596203194	-2.8754252599441235	-2.780875084768787	-2.805751325771845	-2.222328138948477	0.47523461478345275	1.495040630154174	1.4521139432309824	1.8341199294193935	0.5938852722912751
TMC8	1.3074913868533242	2.3487520921424987	2.1520077582790416	2.254723332855291	2.845616977862011	4.903028865239732	5.833284598350433	5.7130271684235305	6.117117566676181	5.502245000533419
SCARF1	2.40503127481784	3.0002523596767157	3.171089255745211	2.9822004397646578	3.6705770073253765	5.13403610399256	6.0838782626250785	6.032658875595406	5.903086100229443	5.536459109782865
